ensembl_gene_id,gene_name
ENSG00000102309,PIN4
ENSG00000186871,ERCC6L
ENSG00000198034,RPS4X
ENSG00000102100,SLC35A2
ENSG00000102096,PIM2
ENSG00000207725,MIR222
ENSG00000269902,RP6-99M1.3
ENSG00000231566,RP5-1158E12.3
ENSG00000212347,SNORD77
ENSG00000215286,RP5-1158E12.2
ENSG00000234613,RP5-1158E12.1
ENSG00000224701,MED28P4
ENSG00000213100,KRT18P68
ENSG00000214009,PCNAP3
ENSG00000186416,NKRF
ENSG00000068308,OTUD5
ENSG00000125931,CITED1
ENSG00000229145,ACTBP1
ENSG00000236751,RP1-30G7.2
ENSG00000231235,RP11-75A9.1
ENSG00000235587,GAPDHP65
ENSG00000224072,RP11-75A9.3
ENSG00000199226,RNU6-50P
ENSG00000230844,ZNF674-AS1
ENSG00000270499,MKI67P1
ENSG00000213997,PGAM1P7
ENSG00000226048,YBX1P8
ENSG00000221494,MIR548I4
ENSG00000215284,RP11-198M15.1
ENSG00000233484,RP11-74B21.1
ENSG00000206685,RNU6-1189P
ENSG00000201659,RNU12-2P
ENSG00000259640,RP6-33F8.1
ENSG00000237351,CTD-2522E6.4
ENSG00000224975,INE1
ENSG00000237211,SETP4
ENSG00000237623,RP11-571E6.1
ENSG00000229547,UBE2DNL
ENSG00000230781,RP1-215K18.4
ENSG00000235461,RP5-928E24.2
ENSG00000264517,AC003001.1
ENSG00000223707,RP1-93L7.3
ENSG00000199051,MIR361
ENSG00000199567,Y_RNA
ENSG00000234039,NDUFA5P7
ENSG00000225536,RP6-145B8.3
ENSG00000238729,snoU13
ENSG00000266158,RN7SL785P
ENSG00000203402,RP11-571E6.3
ENSG00000201450,RNU6-149P
ENSG00000221459,SNORA11C
ENSG00000232009,RP11-571E6.4
ENSG00000223574,TPMTP4
ENSG00000226556,NPM1P49
ENSG00000235636,NUS1P1
ENSG00000263858,MIR4769
ENSG00000215093,EEF1A1P29
ENSG00000223772,GEMIN8P3
ENSG00000226388,ELL2P4
ENSG00000221463,MIR1277
ENSG00000231686,RP1-203P18.1
ENSG00000206862,Y_RNA
ENSG00000230399,RBBP8P1
ENSG00000235699,CXorf51B
ENSG00000239182,SNORA35
ENSG00000250995,RP13-128O4.3
ENSG00000203650,RP4-562J12.2
ENSG00000224440,CXorf51A
ENSG00000225660,RP1-73A14.1
ENSG00000267064,UXT-AS1
ENSG00000231478,FCF1P9
ENSG00000271660,RP1-73A14.2
ENSG00000224341,RP4-562J12.1
ENSG00000216171,MIR513C
ENSG00000271290,RP11-345E19.2
ENSG00000187893,CXXC1P1
ENSG00000236190,RP3-431C21.1
ENSG00000207871,MIR513B
ENSG00000102057,KCND1
ENSG00000207873,MIR513A1
ENSG00000231270,RP13-347D8.1
ENSG00000227864,ARL5AP1
ENSG00000271457,RP11-192B18.1
ENSG00000207984,MIR513A2
ENSG00000200422,SNORD45
ENSG00000207731,MIR506
ENSG00000230478,RP1-52D1.1
ENSG00000230170,HNRNPA1P28
ENSG00000207969,MIR507
ENSG00000207589,MIR508
ENSG00000264366,Z95400.1
ENSG00000270625,RP4-555N2.4
ENSG00000237506,RPSAP15
ENSG00000252583,MIR514B
ENSG00000214992,AKAP17BP
ENSG00000212013,MIR509-2
ENSG00000271205,RP1-138A5.2
ENSG00000270446,RP6-43L17.1
ENSG00000212014,MIR509-3
ENSG00000230392,RP5-1139I1.1
ENSG00000208000,MIR509-1
ENSG00000271056,RP6-43L17.2
ENSG00000207641,MIR510
ENSG00000226661,RP5-1139I1.2
ENSG00000207868,MIR514A1
ENSG00000230706,RP5-998G20.1
ENSG00000227814,MRPS17P9
ENSG00000207866,MIR514A2
ENSG00000237903,RP3-404F18.5
ENSG00000230956,RP3-452M16.1
ENSG00000207867,MIR514A3
ENSG00000228855,RP3-433G13.1
ENSG00000227505,RP11-434J24.2
ENSG00000207175,RNU1-67P
ENSG00000264952,AC004000.1
ENSG00000266420,RN7SL118P
ENSG00000271175,RP11-434J24.3
ENSG00000252147,Y_RNA
ENSG00000224281,SLC25A5-AS1
ENSG00000202051,RNU6-382P
ENSG00000227083,L29074.3
ENSG00000125354,SEPT6
ENSG00000211578,MIR766
ENSG00000206622,SNORA69
ENSG00000227285,RP3-327A19.5
ENSG00000252016,ACA64
ENSG00000271693,CTD-2194M22.1
ENSG00000268066,FMR1-AS1
ENSG00000271157,RP1-249C1.1
ENSG00000182378,PLCXD1
ENSG00000224656,RP1-212G6.4
ENSG00000229968,RP3-393P12.1
ENSG00000264392,AC002477.1
ENSG00000232576,RP11-137D19.1
ENSG00000234493,GS1-421I3.2
ENSG00000270745,RP13-324D24.1
ENSG00000224065,SRIP2
ENSG00000188459,WASF4P
ENSG00000225012,RP13-348B13.2
ENSG00000224401,RPL7P57
ENSG00000221005,AL161723.1
ENSG00000258545,RP4-755D9.1
ENSG00000238068,ZNF630-AS1
ENSG00000227581,RP13-140E4.1
ENSG00000238473,snoU13
ENSG00000226081,USP12PX
ENSG00000227434,RNF19BPX
ENSG00000228139,GS1-421I3.4
ENSG00000171483,SSX6
ENSG00000229667,UBE2V1P9
ENSG00000233382,NKAPP1
ENSG00000178605,GTPBP6
ENSG00000230241,RP11-38O23.3
ENSG00000233139,RP11-38O23.4
ENSG00000201517,RNU6-707P
ENSG00000225198,SSXP3
ENSG00000207515,RNU6-555P
ENSG00000206062,RP13-212L9.1
ENSG00000238032,RP11-38O23.7
ENSG00000234780,RP11-552E4.2
ENSG00000167393,PPP2R3B
ENSG00000252856,RNA5SP503
ENSG00000204368,RP11-552E4.3
ENSG00000236337,FMR1-IT1
ENSG00000234161,PABPC5-AS1
ENSG00000201285,5S_rRNA
ENSG00000236413,RP13-24G8.2
ENSG00000068400,GRIPAP1
ENSG00000219507,FTH1P8
ENSG00000230275,SERBP1P4
ENSG00000222440,RNU2-26P
ENSG00000234702,VDAC1P3
ENSG00000233467,U40455.1
ENSG00000227541,RP3-525N14.2
ENSG00000229132,EIF4A1P10
ENSG00000176970,RPL7L1P11
ENSG00000237757,EEF1A1P30
ENSG00000237741,AC002368.4
ENSG00000223516,AFF2-IT1
ENSG00000222313,RN7SKP267
ENSG00000242186,AC002523.1
ENSG00000264702,AC231656.1
ENSG00000251797,RNU7-98P
ENSG00000238039,AF011889.2
ENSG00000176289,IDSP1
ENSG00000185960,SHOX
ENSG00000241769,LINC00893
ENSG00000205755,CRLF2
ENSG00000215089,KRT18P11
ENSG00000211526,AL121869.1
ENSG00000230543,SNX3P1X
ENSG00000225912,RP13-258O15.1
ENSG00000237873,RP11-156J23.1
ENSG00000234130,RP13-88F20.1
ENSG00000231568,RP11-552E4.4
ENSG00000234322,ST13P18
ENSG00000229662,RP11-552E4.5
ENSG00000232042,RP11-45J1.1
ENSG00000237381,RP3-455H14.1
ENSG00000272179,snoU13
ENSG00000181511,RP4-655L22.4
ENSG00000237828,PA2G4P1
ENSG00000228301,RPL7P55
ENSG00000271346,RP1-321E8.4
ENSG00000147099,HDAC8
ENSG00000270826,RP1-60G11.1
ENSG00000212495,RNU6-332P
ENSG00000202410,Y_RNA
ENSG00000270678,RP6-166C19.21
ENSG00000227521,RP13-213K19.1
ENSG00000270493,RP6-166C19.22
ENSG00000271154,RP6-166C19.23
ENSG00000232293,PAICSP7
ENSG00000271041,RP6-166C19.18
ENSG00000232813,RP11-344N17.2
ENSG00000231001,CCNB1IP1P3
ENSG00000270397,RP6-166C19.16
ENSG00000241207,RP11-344N17.3
ENSG00000271502,RP6-166C19.17
ENSG00000221665,AL591708.1
ENSG00000237345,RP11-344N17.11
ENSG00000271211,RP6-166C19.20
ENSG00000221187,MIR548M
ENSG00000270736,RP6-166C19.19
ENSG00000212098,AL390966.1
ENSG00000271094,RP3-380C13.2
ENSG00000204648,SSX9
ENSG00000270771,RP6-166C19.12
ENSG00000223467,CALM1P1
ENSG00000270646,RP6-166C19.15
ENSG00000234391,RP11-344N17.6
ENSG00000270456,RP6-166C19.14
ENSG00000270251,RP6-166C19.13
