sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_ATAC-seq_50_1-5-35290_ATAC27-8_hg19,CLL,,ATAC-seq,,50,1-5-35290,,ATAC27-8,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_50_1_5_35290_ATAC27_8.bam
CLL_ATAC-seq_244_1-5-16241_ATAC30-2_hg19,CLL,,ATAC-seq,,244,1-5-16241,,ATAC30-2,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_244_1_5_16241_ATAC30_2.bam
CLL_ATAC-seq_244_1-5-33025_ATAC30-1_hg19,CLL,,ATAC-seq,,244,1-5-33025,,ATAC30-1,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_244_1_5_33025_ATAC30_1.bam
CLL_ATAC-seq_332_1-5-1012_ATAC36-3_1_hg19,CLL,,ATAC-seq,,332,1-5-1012,,ATAC36-3,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_332_1_5_1012_ATAC36_3.bam
CLL_ATAC-seq_379_1-5-23688_ATAC36-2_1_hg19,CLL,,ATAC-seq,,379,1-5-23688,,ATAC36-2,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_379_1_5_23688_ATAC36_2.bam
CLL_ATAC-seq_552_1-5-12302_ATAC31-7_hg19,CLL,,ATAC-seq,,552,1-5-12302,,ATAC31-7,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_552_1_5_12302_ATAC31_7.bam
CLL_ATAC-seq_552_1-5-20486_ATAC31-6_hg19,CLL,,ATAC-seq,,552,1-5-20486,,ATAC31-6,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_552_1_5_20486_ATAC31_6.bam
CLL_ATAC-seq_567_1-5-38753_ATAC36-4_1_hg19,CLL,,ATAC-seq,,567,1-5-38753,,ATAC36-4,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_567_1_5_38753_ATAC36_4.bam
CLL_ATAC-seq_653_1-5-45881_ATAC30-4_hg19,CLL,,ATAC-seq,,653,1-5-45881,,ATAC30-4,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_653_1_5_45881_ATAC30_4.bam
CLL_ATAC-seq_653_1-5-6768_ATAC30-5_hg19,CLL,,ATAC-seq,,653,1-5-6768,,ATAC30-5,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_653_1_5_6768_ATAC30_5.bam
CLL_ATAC-seq_680_1-5-10787_ATAC30-8_hg19,CLL,,ATAC-seq,,680,1-5-10787,,ATAC30-8,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_680_1_5_10787_ATAC30_8.bam
CLL_ATAC-seq_680_1-5-33943_ATAC30-7_hg19,CLL,,ATAC-seq,,680,1-5-33943,,ATAC30-7,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_680_1_5_33943_ATAC30_7.bam
CLL_ATAC-seq_981_1-5-11335_ATAC31-8_hg19,CLL,,ATAC-seq,,981,1-5-11335,,ATAC31-8,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_981_1_5_11335_ATAC31_8.bam
CLL_ATAC-seq_981_1-5-42480_ATAC16-6_2_hg19,CLL,,ATAC-seq,,981,1-5-42480,,ATAC16-6,2,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_981_1_5_42480_ATAC16_6.bam
CLL_ATAC-seq_989_1-5-68375_ATAC36-1_1_hg19,CLL,,ATAC-seq,,989,1-5-68375,,ATAC36-1,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_989_1_5_68375_ATAC36_1.bam
CLL_ATAC-seq_1125_1-5-33070_ATAC30-15_hg19,CLL,,ATAC-seq,,1125,1-5-33070,,ATAC30-15,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_1125_1_5_33070_ATAC30_15.bam
CLL_ATAC-seq_1125_1-5-7260_ATAC30-16_hg19,CLL,,ATAC-seq,,1125,1-5-7260,,ATAC30-16,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_1125_1_5_7260_ATAC30_16.bam
CLL_ATAC-seq_1303_1-5-35065_ATAC27-4_hg19,CLL,,ATAC-seq,,1303,1-5-35065,,ATAC27-4,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_1303_1_5_35065_ATAC27_4.bam
CLL_ATAC-seq_1781_1-5-1614_ATAC29-27_hg19,CLL,,ATAC-seq,,1781,1-5-1614,,ATAC29-27,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_1781_1_5_1614_ATAC29_27.bam
CLL_ATAC-seq_2132_1-5-20842_ATAC31-10_hg19,CLL,,ATAC-seq,,2132,1-5-20842,,ATAC31-10,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_2132_1_5_20842_ATAC31_10.bam
CLL_ATAC-seq_2132_1-5-29612_ATAC31-9_hg19,CLL,,ATAC-seq,,2132,1-5-29612,,ATAC31-9,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_2132_1_5_29612_ATAC31_9.bam
CLL_ATAC-seq_2459_1-5-34053_ATAC29-10_hg19,CLL,,ATAC-seq,,2459,1-5-34053,,ATAC29-10,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2459_1_5_34053_ATAC29_10.bam
CLL_ATAC-seq_2459_1-5-6988_ATAC29-11_hg19,CLL,,ATAC-seq,,2459,1-5-6988,,ATAC29-11,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_2459_1_5_6988_ATAC29_11.bam
CLL_ATAC-seq_2483_1-5-39392_ATAC29-24_hg19,CLL,,ATAC-seq,,2483,1-5-39392,,ATAC29-24,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_2483_1_5_39392_ATAC29_24.bam
CLL_ATAC-seq_2613_1-5-2683_ATAC31-12_hg19,CLL,,ATAC-seq,,2613,1-5-2683,,ATAC31-12,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_2613_1_5_2683_ATAC31_12.bam
CLL_ATAC-seq_2613_1-5-6916_ATAC31-11_hg19,CLL,,ATAC-seq,,2613,1-5-6916,,ATAC31-11,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_2613_1_5_6916_ATAC31_11.bam
CLL_ATAC-seq_2886_1-5-34218_ATAC29-16_hg19,CLL,,ATAC-seq,,2886,1-5-34218,,ATAC29-16,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_2886_1_5_34218_ATAC29_16.bam
CLL_ATAC-seq_2886_1-5-46979_ATAC29-17_hg19,CLL,,ATAC-seq,,2886,1-5-46979,,ATAC29-17,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_1_1_5_46979_ATAC29_17.bam
CLL_ATAC-seq_2938_1-5-12095_ATAC30-19_hg19,CLL,,ATAC-seq,,2938,1-5-12095,,ATAC30-19,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_12095_ATAC30_19.bam
CLL_ATAC-seq_2938_1-5-20335_ATAC30-18_hg19,CLL,,ATAC-seq,,2938,1-5-20335,,ATAC30-18,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_20335_ATAC30_18.bam
CLL_ATAC-seq_2938_1-5-21490_ATAC30-20_hg19,CLL,,ATAC-seq,,2938,1-5-21490,,ATAC30-20,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_21490_ATAC30_20.bam
